Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,157186836,127345072372.236
5297,898.498,155928216,140101190219.568
5168,967.77,157429319,152355372048.63
2807,979.819,157396082,154219671669.158
2215,509.983,156630903,79879097804.649
1490,862.35,157137266,135507321335.1
3954,490.914,157493310,77315670785.34
2031,399.553,156757102,62632770375.406

weighted_avg,NA,NA,929356166610.0869
weighted_%,NA,NA,1.0
weighted_total,929356166610.0869
