Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,190864,154628660.464,6372,5162282.171999999,4227032,3424534201.832
5297,898.498,192905,173324756.69,6130,5507792.74,4227783,3798654569.934
5168,967.77,197260,190902310.2,4973,4812720.21,4222536,4086443664.72
2807,979.819,189951,186117598.869,5437,5327275.903,4229068,4143721178.692
2215,509.983,196804,100366694.332,4951,2524925.833,4223005,2153660758.915
1490,862.35,196337,169311211.95000002,5367,4628232.45,4225273,3643664171.55
3954,490.914,196493,96461164.602,4934,2422169.676,4223170,2073213277.3799999
2031,399.553,195836,78246861.308,4888,1953015.064,4223936,1687686300.608

weighted_avg,NA,NA,1149359258.415,NA,32338414.048,NA,25011578123.631
weighted_%,NA,NA,0.04387993572710729,NA,0.0012346074732974932,NA,0.9548854567995951
weighted_total,26193275796.094
