Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14466,11719644.365999999,0,0.0
5297,898.498,15202,13658966.596,1,898.498
5168,967.77,14597,14126538.69,0,0.0
2807,979.819,14612,14317115.228,0,0.0
2215,509.983,14720,7506949.76,0,0.0
1490,862.35,14929,12874023.15,1,862.35
3954,490.914,14670,7201708.38,0,0.0
2031,399.553,14831,5925770.543,0,0.0

weighted_avg,NA,NA,87330716.71299998,NA,1760.848
weighted_%,NA,NA,0.999979837420749,NA,2.0162579250887308e-05
weighted_total,87332477.56099999
