Simpoints,Weight,FDIP_OFF_CONF_ON_EMIT_UNUSEFUL_val,FDIP_OFF_CONF_ON_EMIT_UNUSEFUL_w_val,FDIP_ON_CONF_OFF_MISS_USEFUL_val,FDIP_ON_CONF_OFF_MISS_USEFUL_w_val
517,810.151,,0.0,,0.0
5297,898.498,,0.0,,0.0
5168,967.77,,0.0,,0.0
2807,979.819,,0.0,,0.0
2215,509.983,,0.0,,0.0
1490,862.35,,0.0,,0.0
3954,490.914,,0.0,,0.0
2031,399.553,,0.0,,0.0

weighted_avg,NA,NA,0.0,NA,0.0
weighted_%,NA,NA,NA,NA,NA
weighted_total,0.0
