Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1044361,846090108.5109999,374968,303780700.168
5297,898.498,1046480,940260187.0400001,394989,354896826.522
5168,967.77,1043960,1010313169.1999999,380409,368148417.93
2807,979.819,1043835,1022769365.865,374578,367018641.38199997
2215,509.983,1045253,533061260.699,376557,192037668.531
1490,862.35,1046316,902290602.6,385372,332325544.2
3954,490.914,1044960,512985493.44,377997,185564019.258
2031,399.553,1046227,418023136.531,376896,150589927.488

weighted_avg,NA,NA,6185793323.886001,NA,2254361745.479
weighted_%,NA,NA,0.7329004352465519,NA,0.2670995647534481
weighted_total,8440155069.365001
