Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,1419329,1149870808.679,526423,426482119.87299997,149,120712.499,0,0.0
5297,898.498,1441469,1295157013.562,527843,474265879.814,194,174308.61200000002,152,136571.696
5168,967.77,1424369,1378461587.1299999,526630,509656715.09999996,437,422915.49,3,2903.31
2807,979.819,1418413,1389788007.247,526514,515888420.96599996,468,458555.29199999996,0,0.0
2215,509.983,1421810,725098929.23,526467,268489220.061,415,211642.945,0,0.0
1490,862.35,1431688,1234616146.8,527190,454622296.5,381,328555.35000000003,154,132801.9
3954,490.914,1422957,698549512.698,525976,258208982.06399998,439,215511.24599999998,0,0.0
2031,399.553,1423123,568613064.019,525781,210077375.893,514,205370.242,0,0.0

weighted_avg,NA,NA,8440155069.365,NA,3117691010.271,NA,2137571.676,NA,272276.90599999996
weighted_%,NA,NA,0.7301010567389782,NA,0.26969048346593033,NA,0.00018490695095964922,NA,2.3552844131710424e-05
weighted_total,11560255928.218
