Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
4118,2431.67,1142497,2778175679.9900002,1284704,3123976175.6800003
1010,22.174,1150111,25502561.314,1299042,28804957.308
1362,2347.06,1138508,2672146586.48,1286728,3020027819.68
5198,1186.62,1147636,1361807830.32,1254599,1488732265.3799999

weighted_avg,NA,NA,6837632658.104,NA,7661541218.048
weighted_%,NA,NA,0.47158774124023883,NA,0.5284122587597612
weighted_total,14499173876.152
