Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
4118,2431.67,543432515,1321448543750.05
1010,22.174,633915622,14056445002.227999
1362,2347.06,552150867,1295931213901.02
5198,1186.62,547690827,649900889134.74

weighted_avg,NA,NA,3281337091788.038
weighted_%,NA,NA,1.0
weighted_total,3281337091788.038
