Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
4118,2431.67,13.806,33571.63602
1010,22.174,14.214,315.181236
1362,2347.06,13.772,32323.71032
5198,1186.62,13.793,16367.049659999997

weighted_avg,NA,NA,82577.57723599998
weighted_%,NA,NA,1.0
weighted_total,82577.57723599998
