Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
49,53.1722,569006,30255300.833199997,671205,35689446.500999995,1849,98315.39779999999,0,0.0,23261,1236838.5442,164,8720.2408,224,11910.5728
1172,4605.89,555433,2558263300.3700004,694306,3197897062.34,589,2712869.21,0,0.0,25656,118168713.84,73,336229.97000000003,68,313200.52

weighted_avg,NA,NA,2588518601.2032003,NA,3233586508.841,NA,2811184.6078,NA,0.0,NA,119405552.3842,NA,344950.2108,NA,325111.09280000004
weighted_%,NA,NA,0.4354116273181052,NA,0.5439177308727425,NA,0.0004728660107773051,NA,0.0,NA,0.02008506558548794,NA,5.802366363461222e-05,NA,5.46865492523085e-05
weighted_total,5944991908.339801
