Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
49,53.1722,13845,736169.1089999999,0,0.0,0,0.0,432785,23012130.577,3280615,174437516.903
1172,4605.89,0,0.0,0,0.0,0,0.0,432315,1991195335.3500001,3364660,15497253847.400002

weighted_avg,NA,NA,736169.1089999999,NA,0.0,NA,0.0,NA,2014207465.927,NA,15671691364.303001
weighted_%,NA,NA,4.1622903906114e-05,NA,0.0,NA,0.0,NA,0.1138830233112334,NA,0.8860753537848606
weighted_total,17686634999.339
