Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
4118,2431.67,336797557,818980515430.1901
1010,22.174,414231452,9185168216.648
1362,2347.06,332646687,780741733190.22
5198,1186.62,335201503,397756807489.86

weighted_avg,NA,NA,2006664224326.918
weighted_%,NA,NA,1.0
weighted_total,2006664224326.918
