Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
4118,2431.67,26,63223.42
1010,22.174,27,598.698
1362,2347.06,26,61023.56
5198,1186.62,26,30852.119999999995

weighted_avg,NA,NA,155697.79799999998
weighted_%,NA,NA,1.0
weighted_total,155697.79799999998
