Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,954634537,773398124785.0869
5297,898.498,958097946,860849088285.108
5168,967.77,960379254,929426230643.58
2807,979.819,959862569,940491582495.011
2215,509.983,957917251,488521513416.73303
1490,862.35,959573942,827488588883.7001
3954,490.914,958457725,470520315610.64996
2031,399.553,957071910,382400952856.23

weighted_avg,NA,NA,5673096396976.1
weighted_%,NA,NA,1.0
weighted_total,5673096396976.1
