Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
517,810.151,0,0.0,0,0.0,0,0.0,225,182283.97499999998,795735,644665505.985
5297,898.498,0,0.0,0,0.0,0,0.0,25,22462.45,850270,763965894.46
5168,967.77,0,0.0,0,0.0,0,0.0,200,193554.0,815075,788805132.75
2807,979.819,0,0.0,0,0.0,0,0.0,425,416423.075,816575,800095699.925
2215,509.983,0,0.0,0,0.0,0,0.0,100,50998.3,820530,418456350.99
1490,862.35,0,0.0,0,0.0,0,0.0,195,168158.25,837115,721886120.25
3954,490.914,0,0.0,0,0.0,0,0.0,185,90819.09,820610,402848937.53999996
2031,399.553,0,0.0,0,0.0,0,0.0,55,21975.415,827070,330458299.71

weighted_avg,NA,NA,0.0,NA,0.0,NA,0.0,NA,1146674.5550000002,NA,4871181941.61
weighted_%,NA,NA,0.0,NA,0.0,NA,0.0,NA,0.00023534425637787654,NA,0.999764655743622
weighted_total,4872328616.165
