Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,14948,12110137.148,37,29975.587
5297,898.498,15799,14195369.902,45,40432.41
5168,967.77,15022,14537840.94,34,32904.18
2807,979.819,15012,14709042.828,46,45071.674
2215,509.983,15143,7722672.569,20,10199.66
1490,862.35,15381,13263805.35,38,32769.3
3954,490.914,15087,7406419.518,23,11291.021999999999
2031,399.553,15198,6072406.494,12,4794.636

weighted_avg,NA,NA,90017694.74900001,NA,207438.46899999998
weighted_%,NA,NA,0.997700879327063,NA,0.0022991206729370147
weighted_total,90225133.21800001
