Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
517,810.151,14.294,11580.298394
5297,898.498,14.294,12843.130412
5168,967.77,14.284,13823.626680000001
2807,979.819,14.286,13997.694233999999
2215,509.983,14.275,7280.0073250000005
1490,862.35,14.279,12313.49565
3954,490.914,14.279,7009.761006
2031,399.553,14.271,5702.020863000001

weighted_avg,NA,NA,84550.03456399999
weighted_%,NA,NA,1.0
weighted_total,84550.03456399999
