Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14097,11420698.647,0,0.0
5297,898.498,14953,13435240.594,0,0.0
5168,967.77,14177,13720075.29,0,0.0
2807,979.819,14166,13880115.954,0,0.0
2215,509.983,14318,7301936.5940000005,0,0.0
1490,862.35,14527,12527358.450000001,0,0.0
3954,490.914,14242,6991597.188,0,0.0
2031,399.553,14362,5738380.186,0,0.0

weighted_avg,NA,NA,85015402.903,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,85015402.903
