Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,57821,46843740.971,1275,1032942.5249999999
5297,898.498,59351,53326754.798,1468,1318995.064
5168,967.77,58208,56331956.16,1286,1244552.22
2807,979.819,58272,57096012.768,1311,1284542.709
2215,509.983,59037,30107866.371,1264,644618.512
1490,862.35,60062,51794465.7,1367,1178832.45
3954,490.914,58462,28699814.268,1233,605296.9619999999
2031,399.553,58878,23524881.533999998,1239,495046.167

weighted_avg,NA,NA,347725492.57,NA,7804826.609
weighted_%,NA,NA,0.9780473670233719,NA,0.021952632976628018
weighted_total,355530319.179
