Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,14744,11944866.343999999,241,195246.391
5297,898.498,15593,14010279.314000001,251,225522.99800000002
5168,967.77,14817,14339448.09,239,231297.03
2807,979.819,14802,14503280.838,256,250833.664
2215,509.983,14956,7627305.748,207,105566.481
1490,862.35,15166,13078400.1,253,218174.55000000002
3954,490.914,14880,7304800.319999999,230,112910.22
2031,399.553,15001,5993694.553,209,83506.577

weighted_avg,NA,NA,88802075.30699998,NA,1423057.911
weighted_%,NA,NA,0.9842276995306658,NA,0.015772300469334182
weighted_total,90225133.21799998
