Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,164272,133085125.072,0,0.0
5297,898.498,175692,157858910.616,0,0.0
5168,967.77,168193,162772139.60999998,0,0.0
2807,979.819,168592,165189644.848,0,0.0
2215,509.983,169540,86462517.82000001,0,0.0
1490,862.35,172577,148821775.95000002,0,0.0
3954,490.914,169407,83164267.998,0,0.0
2031,399.553,170805,68245650.165,0,0.0

weighted_avg,NA,NA,1005600032.079,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,1005600032.079
