Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,83993,68047012.94299999,23721,19217591.871
5297,898.498,84257,75704745.986,26385,23706869.73
5168,967.77,84220,81505589.39999999,23744,22978730.88
2807,979.819,83903,82209753.557,23617,23140385.323
2215,509.983,84287,42984937.121,23672,12072317.576
1490,862.35,84073,72500351.55,25063,21613078.05
3954,490.914,84227,41348213.478,23643,11606679.702
2031,399.553,84249,33661940.697,23714,9474999.842

weighted_avg,NA,NA,497962544.732,NA,143810652.974
weighted_%,NA,NA,0.7759167047049533,NA,0.22408329529504675
weighted_total,641773197.706
