Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,2983,648644.401,284,61754.948000000004
2298,16.1495,0,0.0,0,0.0
2235,73.9095,46,3399.8369999999995,39,2882.4705
562,151.883,1512,229647.09600000002,497,75485.85100000001
2322,74.3347,32,2378.7104,18,1338.0246
533,77.6496,995,77261.35200000001,743,57693.6528
655,136.191,109,14844.819,120,16342.92
414,208.958,7888,1648260.704,3916,818279.528
253,149.505,3380,505326.89999999997,378,56512.89
853,129.616,80,10369.28,71,9202.736
907,262.418,1560,409372.08,427,112052.486
1114,12.9007,17,219.3119,2,25.8014
939,1055.11,16116,17004152.759999998,4802,5066638.22
2606,11.2554,50,562.77,68,765.3672
2837,150.956,4856,733042.3359999999,675,101895.29999999999
1793,150.359,44,6615.796,105,15787.695000000002
1046,85.9267,2206,189554.3002,312,26809.1304
554,46.3771,319,14794.294899999999,107,4962.3497
1970,47.9169,3204,153525.7476,235,11260.4715

weighted_avg,NA,NA,21651972.496,NA,6439689.842100001
weighted_%,NA,NA,0.7707615247330516,NA,0.22923847526694832
weighted_total,28091662.3381
