Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,151220,32882335.34
2298,16.1495,0,0.0
2235,73.9095,35710,2639308.2449999996
562,151.883,186715,28358834.345000003
2322,74.3347,13480,1002031.7559999999
533,77.6496,621005,48220789.848000005
655,136.191,106395,14490041.445
414,208.958,2202790,460290592.82
253,149.505,348515,52104735.074999996
853,129.616,57995,7517079.920000001
907,262.418,120720,31679100.96
1114,12.9007,5370,69276.759
939,1055.11,2572590,2714365434.8999996
2606,11.2554,55785,627882.489
2837,150.956,285010,43023969.559999995
1793,150.359,74230,11161148.57
1046,85.9267,289145,24845275.671499997
554,46.3771,59130,2742277.923
1970,47.9169,1595340,76443747.24599999

weighted_avg,NA,NA,3552463862.8724995
weighted_%,NA,NA,1.0
weighted_total,3552463862.8724995
