cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7ffda9daaaf7,0,0,1278,0,0,0,0,0,1,0,0,2
2,7ffda9e826b7,0,0,10,0,0,0,0,0,0,0,0,0
3,7ffda9e82ac9,7ffda9b16420,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9daaa88,7ffda9daaa99,0,2260,0,1,0,0,0,1,0,0,4
1,7ffda9daa6cb,7ffda9daa6d3,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9e826cd,7ffda9e817f0,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9e822cf,7ffda9daaa40,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e82ac1,0,0,10,0,0,0,0,0,1,0,0,2
1,7ffda9daa2c1,7ffda9daa00c,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e826c0,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9daaac2,0,0,2260,0,0,0,0,0,0,0,0,0
4,7ffda9e832c7,7ffda9e831d0,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9daa287,7ffda9daa1d0,0,17,0,2,0,0,0,1,0,0,6
3,7ffda9daa6d8,7ffda99e4480,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9daa69b,7ffda9daa6c9,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e822da,0,0,10,0,0,0,0,0,0,0,0,0
1,7ffda9daa295,7ffda9daa2f2,0,7,0,0,0,0,0,1,0,0,2
2,7ffda9e826d4,0,0,10,0,0,0,0,0,0,0,0,0
7,7ffda9e83294,7ffda9e390fa,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e82e2e,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9daaa60,7ffda9daaa7a,0,2260,0,0,0,0,0,1,0,0,2
2,7ffda9e82e65,7ffda9e83171,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f02238,7ffda9f021f0,0,30,0,4,0,0,0,1,0,0,10
2,7ffda9f0223c,7ffda9f0225f,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9daa27e,7ffda9daa2ec,0,20,0,1,0,0,0,1,0,0,4
2,7ffda9daa631,7ffda9daa690,0,10,0,1,0,0,0,1,0,0,4
2,7ffda9e82630,7ffda9e826a5,0,10,0,3,0,0,0,1,0,0,8
2,7ffda9e82a70,0,0,10,0,0,0,0,0,0,0,0,0
7,7ffda9e83208,7ffda9f75159,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9daaa4a,7ffda9daaa5d,0,2260,0,1,0,0,0,1,0,0,4
2,7ffda9daaa01,7ffda9daaa08,0,10,0,0,0,0,0,1,0,0,2
1,7ffda9daa202,7ffda9daa270,0,3,0,0,0,0,0,1,0,0,2
1,7ffda9e82e06,7ffda9e82e20,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9e82e46,7ffda9e822a0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9daaa19,0,0,10,0,0,0,0,0,0,0,0,0
3,7ffda9e82a58,7ffda9acca30,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e82e51,0,0,10,0,0,0,0,0,0,0,0,0
1,7ffda9daa253,7ffda9daa270,0,17,0,0,0,0,0,1,0,0,2
2,7ffda9e81deb,7ffda9e81e4a,0,10,0,0,0,0,0,1,0,0,2
7,7ffda9ea01ed,7ffdaa04031a,0,1073,0,0,0,0,0,0,0,0,0
2,7ffda9e81dac,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f01dee,0,0,40,0,0,0,0,0,0,0,0,0
2,7ffda9f099ae,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9da9da1,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9da9de0,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9da9de7,7ffda9da9e09,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e819a6,7ffda9e819ac,0,10,0,0,0,0,0,10,0,0,20
2,7ffda9f01df8,7ffda9f01e82,0,40,0,2,0,0,0,1,0,0,6
2,7ffda9f099b8,7ffda9f099f7,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9da95bb,7ffda9e6b070,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01dbc,7ffda9f01ec8,0,60,0,4,0,0,0,1,0,0,10
2,7ffda9da9db4,7ffda9da9f4f,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e819c8,0,0,20,0,0,0,0,0,1,0,0,2
3,7ffda9e819cd,7ffda9e81840,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81d8d,7ffda9e81da7,0,10,0,0,0,0,0,1,0,0,2
7,7ffda9e80dcd,7ffda9e80b80,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e81dcf,7ffda9e81dfa,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e81981,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e81d87,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9da9dc6,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f01dd9,7ffda9f01de6,0,40,0,0,0,0,0,1,0,0,2
3,7ffda9da959a,7ffda9e6b000,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da9dd5,0,0,10,0,0,0,0,0,0,0,0,0
3,7ffda9e8196a,7ffda9e70d90,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e8192d,0,0,20,0,0,0,0,0,0,0,0,0
1,7ffda9e8193b,7ffda9e81870,0,20,0,0,0,0,0,1,0,0,2
1,7ffda9e81d3a,7ffda9e819e0,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9e81936,7ffda9e81700,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81509,0,0,20,0,0,0,0,0,0,0,0,0
5,7ffda9e80d4f,7ffdac6803b0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e8190e,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9e81d0e,7ffda9e81d25,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e81901,0,0,20,0,0,0,0,0,0,0,0,0
3,7ffda9e81d03,7ffda9daaa40,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e8191c,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9e81ca9,0,0,10,0,0,0,0,0,0,0,0,0
3,7ffda9da94a8,7ffda9da9a80,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da94ea,0,0,150,0,0,0,0,0,1,0,0,2
3,7ffda9e818af,7ffda9da94c0,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9f01ce1,7ffda9f01d92,0,60,0,0,0,0,0,1,0,0,2
2,7ffda9da94f9,7ffda9da95c0,0,150,0,2,0,0,0,1,0,0,6
2,7ffda9e81cf9,0,0,10,0,0,0,0,0,0,0,0,0
1,7ffda9da94ff,7ffda9da9598,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da94b3,7ffda9da94ba,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01c89,7ffda9f01cc9,0,60,0,0,0,0,0,1,0,0,2
7,7ffda9ea008f,7ffdaa0ad390,0,8,0,0,0,0,0,0,0,0,0
3,7ffda9e818c1,7ffda9e70d90,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81cc4,7ffda9e81ce1,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f09884,7ffda9f0983b,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e81887,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9e818d8,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f01cd8,0,0,60,0,0,0,0,0,1,0,0,2
1,7ffda9e81869,7ffda9e8187d,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81c6f,7ffda9e81c9e,0,10,0,0,0,0,0,1,0,0,2
1,7ffda9e8182e,7ffdaa0e1590,0,10,0,0,0,0,0,1,0,0,2
7,7ffda9f00c63,7ffdaa100fdd,0,20,0,0,0,0,0,0,0,0,0
7,7ffda9f20c25,7ffda9f05be9,0,20,0,0,0,0,0,0,0,0,0
1,7ffda9f09839,7ffda9f0985c,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e8147c,7ffda9e814fb,0,20,0,1,0,0,0,1,0,0,4
2,7ffda9f0987f,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e81877,7ffda9e81940,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9f09876,7ffda9f09850,0,60,0,2,0,0,0,1,0,0,6
2,7ffda9e81805,7ffda9e8180b,0,10,0,0,0,0,0,3,0,0,6
2,7ffda9e81007,7ffda9e80d97,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81859,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9e81819,7ffda9e81823,0,10,0,1,0,0,0,1,0,0,4
2,7ffda9f0981e,0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e81012,0,0,10,0,0,0,0,0,0,0,0,0
1,7ffda9e81014,7ffda9e80dd0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f09856,7ffda9f099a8,0,60,0,1,0,0,0,1,0,0,4
1,7ffda9da9bab,7ffda9da9bb8,0,10,0,0,0,0,0,1,0,0,2
1,7ffda9e817e3,7ffda9e81735,0,20,0,0,0,0,0,1,0,0,2
1,7ffda9da9be5,7ffda9da9d09,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01be4,0,0,60,0,0,0,0,0,0,0,0,0
7,7ffda9e80ba4,7ffda9e6b0e4,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9da9fa4,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9da9fb9,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f01bba,7ffda9f01b6d,0,50,0,0,0,0,0,1,0,0,2
1,7ffda9f097fa,7ffda9f097ff,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9e817bc,7ffdaa0e1590,0,20,0,0,0,0,0,1,0,0,2
7,7ffda9f00ffc,7ffda9e3730e,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9e817ff,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f01bf1,7ffda9f01c83,0,60,0,0,0,0,0,2,0,0,4
2,7ffda9e817b0,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9da9ff0,7ffda9daa0a2,0,20,0,1,0,0,0,1,0,0,4
7,7ffdac6803b7,7ffda9f75eef,0,417,0,0,0,0,0,0,0,0,0
3,7ffda9da9b89,7ffda9da94c0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da9f8d,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e817c3,7ffda9e8171c,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9da9fc4,7ffda9da9fe0,0,20,0,5,0,0,0,1,0,0,12
2,7ffda9f01b87,7ffda9f01b6d,0,60,0,3,0,0,0,1,0,0,8
2,7ffda9da9f87,7ffda9da9f95,0,20,0,1,0,0,0,1,0,0,4
7,7ffda9ea8fd9,7ffda9e6d969,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9da9b9c,7ffda9da9ba0,0,10,0,0,0,0,0,1,0,0,2
3,7ffda9da9f9c,7ffda9daaa40,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9da9fd1,7ffda9da9fe0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da9f93,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e817d2,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9da9bd2,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f01b95,0,0,50,0,0,0,0,0,0,0,0,0
2,7ffda9da9f69,7ffda9da9dc3,0,20,0,1,0,0,0,1,0,0,4
2,7ffda9f01b6b,7ffda9f01b84,0,60,0,0,0,0,0,1,0,0,2
2,7ffda9da9b2b,7ffda9da9b40,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01b2a,0,0,60,0,0,0,0,0,0,0,0,0
2,7ffda9da9b6e,7ffda9da9b72,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da9f20,7ffda9da9ea0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f09722,7ffda9f097f7,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e81724,7ffda9e8174d,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81366,7ffda9e8136e,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01b78,7ffda9f01bcd,0,60,0,0,0,0,0,1,0,0,2
2,7ffda9e8173d,7ffda9e8179a,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81371,7ffda9e81402,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01b33,7ffda9f01b5d,0,60,0,0,0,0,0,1,0,0,2
3,7ffda9e81332,7ffda9e6b000,0,10,0,0,0,0,0,1,0,0,2
1,7ffda9e81737,7ffda9e81741,0,20,0,0,0,0,0,1,0,0,2
3,7ffda9da9f0c,7ffda9da36c0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9da9f19,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e8171a,7ffda9e81739,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e8131a,7ffda9e81310,0,20,0,2,0,0,0,1,0,0,6
1,7ffda9da9f5a,7ffda9da9f6f,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e81351,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e81754,7ffda9e817ce,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e81eaa,7ffda9e81ebe,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f01eaf,7ffda9f01ec8,0,40,0,2,0,0,0,1,0,0,6
2,7ffda9f01ea1,7ffda9f01ea7,0,40,0,0,0,0,0,1,0,0,2
