Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.247,4185.202409
2298,16.1495,15.444,249.412878
2235,73.9095,16.231,1199.6250945
562,151.883,18.368,2789.786944
2322,74.3347,20.594,1530.8488118
533,77.6496,18.451,1432.7127696000002
655,136.191,15.172,2066.2898520000003
414,208.958,16.272,3400.1645759999997
253,149.505,18.175,2717.2533750000002
853,129.616,19.136,2480.331776
907,262.418,17.024,4467.404032
1114,12.9007,20.031,258.4139217
939,1055.11,16.273,17169.80503
2606,11.2554,21.873,246.1893642
2837,150.956,15.917,2402.766652
1793,150.359,19.446,2923.8811140000003
1046,85.9267,17.553,1508.2713651
554,46.3771,17.687,820.2717677
1970,47.9169,24.87,1191.693303

weighted_avg,NA,NA,53040.3250356
weighted_%,NA,NA,1.0
weighted_total,53040.3250356
