Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,62341055,13555875386.585001
2298,16.1495,0,0.0
2235,73.9095,473149713,34970258712.973495
562,151.883,231629691,35180612358.153
2322,74.3347,71208768,5293282406.6496
533,77.6496,208471096,16187697215.961601
655,136.191,67600057,9206519362.887001
414,208.958,5548664458,1159437827814.764
253,149.505,59359857,8874595420.785
853,129.616,173428563,22479116621.808002
907,262.418,104879944,27522385144.592
1114,12.9007,1463769,18883644.7383
939,1055.11,3750448970,3957136212736.6997
2606,11.2554,927782554,10442563758.2916
2837,150.956,26475651,3996658372.3559995
1793,150.359,716640689,107753377357.35101
1046,85.9267,51592698,4433190283.2366
554,46.3771,49418942,2291907215.0282
1970,47.9169,4516311,216407622.55589998

weighted_avg,NA,NA,5418997371435.416
weighted_%,NA,NA,1.0
weighted_total,5418997371435.416
