Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2766,217.447,52,11307.244
2298,16.1495,60,968.97
2235,73.9095,62,4582.388999999999
562,151.883,44,6682.852000000001
2322,74.3347,57,4237.0779
533,77.6496,52,4037.7792000000004
655,136.191,59,8035.269
414,208.958,42,8776.236
253,149.505,49,7325.745
853,129.616,56,7258.496000000001
907,262.418,36,9447.048
1114,12.9007,57,735.3399000000001
939,1055.11,34,35873.74
2606,11.2554,63,709.0902
2837,150.956,49,7396.843999999999
1793,150.359,60,9021.54
1046,85.9267,55,4725.9685
554,46.3771,49,2272.4779
1970,47.9169,64,3066.6816

weighted_avg,NA,NA,136460.7882
weighted_%,NA,NA,1.0
weighted_total,136460.7882
