Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,152850,33236773.95
2298,16.1495,0,0.0
2235,73.9095,31500,2328149.25
562,151.883,233105,35404686.715
2322,74.3347,7580,563457.026
533,77.6496,633980,49228293.40800001
655,136.191,109500,14912914.5
414,208.958,2777145,580306664.91
253,149.505,339985,50829457.425
853,129.616,46895,6078342.32
907,262.418,122295,32092409.310000002
1114,12.9007,3385,43668.8695
939,1055.11,3050365,3218470615.1499996
2606,11.2554,44920,505592.56799999997
2837,150.956,281625,42512983.5
1793,150.359,62180,9349322.620000001
1046,85.9267,291685,25063529.489499997
554,46.3771,55510,2574392.821
1970,47.9169,1573940,75418325.586

weighted_avg,NA,NA,4178919579.4179993
weighted_%,NA,NA,1.0
weighted_total,4178919579.4179993
