Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,2979,647774.613,271,58928.137
2298,16.1495,0,0.0,0,0.0
2235,73.9095,38,2808.5609999999997,32,2365.104
562,151.883,1550,235418.65000000002,466,70777.478
2322,74.3347,24,1784.0328,11,817.6817
533,77.6496,1053,81765.0288,644,50006.3424
655,136.191,113,15389.583,135,18385.785
414,208.958,8948,1869756.184,3281,685591.198
253,149.505,3356,501738.77999999997,347,51878.235
853,129.616,74,9591.584,46,5962.336
907,262.418,1570,411996.26,432,113364.576
1114,12.9007,14,180.6098,2,25.8014
939,1055.11,17262,18213308.819999997,4439,4683633.289999999
2606,11.2554,35,393.939,55,619.047
2837,150.956,4847,731683.732,676,102046.256
1793,150.359,43,6465.437000000001,81,12179.079000000002
1046,85.9267,2225,191186.9075,290,24918.743
554,46.3771,316,14655.1636,107,4962.3497
1970,47.9169,3175,152136.1575,231,11068.803899999999

weighted_avg,NA,NA,23088034.042999994,NA,5897530.243099999
weighted_%,NA,NA,0.7965356070046166,NA,0.2034643929953834
weighted_total,28985564.286099993
