Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,6295,1368828.865,329,71540.063
2298,16.1495,0,0.0,0,0.0
2235,73.9095,111,8203.9545,70,5173.665
562,151.883,2049,311208.267,515,78219.74500000001
2322,74.3347,13,966.3511,3,223.0041
533,77.6496,1881,146058.89760000003,807,62663.22720000001
655,136.191,269,36635.379,220,29962.02
414,208.958,19490,4072591.42,7331,1531871.098
253,149.505,8245,1232668.7249999999,360,53821.799999999996
853,129.616,123,15942.768000000002,92,11924.672
907,262.418,1429,374995.322,277,72689.78600000001
1114,12.9007,2,25.8014,1,12.9007
939,1055.11,41987,44300903.56999999,10582,11165174.02
2606,11.2554,97,1091.7738,112,1260.6048
2837,150.956,6193,934870.5079999999,236,35625.615999999995
1793,150.359,82,12329.438,156,23456.004
1046,85.9267,4877,419064.5159,360,30933.611999999997
554,46.3771,199,9229.0429,100,4637.71
1970,47.9169,48,2300.0112,0,0.0

weighted_avg,NA,NA,53247914.610400006,NA,13179189.547800003
weighted_%,NA,NA,0.8015992159403337,NA,0.19840078405966632
weighted_total,66427104.15820001
