Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,29860,6492967.42,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,3973,293642.4435,0,0.0
562,151.883,30935,4698500.605,0,0.0
2322,74.3347,1226,91134.3422,0,0.0
533,77.6496,60460,4694694.816000001,0,0.0
655,136.191,13136,1789004.976,0,0.0
414,208.958,340716,71195333.928,27,5641.866
253,149.505,60070,8980765.35,0,0.0
853,129.616,5834,756179.7440000001,0,0.0
907,262.418,16758,4397600.8440000005,0,0.0
1114,12.9007,538,6940.5766,0,0.0
939,1055.11,395214,416994243.53999996,70,73857.7
2606,11.2554,4323,48657.0942,0,0.0
2837,150.956,44070,6652630.92,0,0.0
1793,150.359,3341,502349.41900000005,0,0.0
1046,85.9267,48125,4135222.4375,0,0.0
554,46.3771,6232,289022.0872,0,0.0
1970,47.9169,267416,12813745.7304,0,0.0

weighted_avg,NA,NA,544832636.2736,NA,79499.56599999999
weighted_%,NA,NA,0.9998541057158188,NA,0.00014589428418126008
weighted_total,544912135.8396
