Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,8361,1818074.367
2298,16.1495,0,0.0
2235,73.9095,181,13377.619499999999
562,151.883,2904,441068.232
2322,74.3347,17,1263.6898999999999
533,77.6496,2782,216021.18720000001
655,136.191,498,67823.118
414,208.958,29225,6106797.55
253,149.505,12022,1797349.1099999999
853,129.616,219,28385.904000000002
907,262.418,1948,511190.264
1114,12.9007,3,38.7021
939,1055.11,57158,60307977.379999995
2606,11.2554,214,2408.6556
2837,150.956,10022,1512881.032
1793,150.359,240,36086.16
1046,85.9267,7323,629241.2241
554,46.3771,344,15953.722399999999
1970,47.9169,136,6516.698399999999

weighted_avg,NA,NA,73512454.61619999
weighted_%,NA,NA,1.0
weighted_total,73512454.61619999
