Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4095156,890479386.732
2298,16.1495,2878184,46481232.508
2235,73.9095,12417558,917775503.0009999
562,151.883,3920543,595463832.469
2322,74.3347,4272306,317580584.8182
533,77.6496,9333566,724747666.4736
655,136.191,4308420,586768028.22
414,208.958,4721253,986543584.374
253,149.505,5036296,752951433.48
853,129.616,12790525,1657856688.4
907,262.418,5287451,1387522316.5180001
1114,12.9007,7853935,101321259.2545
939,1055.11,4798159,5062585542.49
2606,11.2554,48673321,547837697.1834
2837,150.956,4613857,696489397.2919999
1793,150.359,18285406,2749375360.754
1046,85.9267,4220367,362642209.09889996
554,46.3771,3766035,174657781.7985
1970,47.9169,76516053,3666412059.9957

weighted_avg,NA,NA,22225491564.860798
weighted_%,NA,NA,1.0
weighted_total,22225491564.860798
