Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,227624548,49496275088.956
2298,16.1495,175539665,2834877819.9175
2235,73.9095,772934937,57127234726.20149
562,151.883,171389908,26031213396.764
2322,74.3347,244499897,18174826493.525898
533,77.6496,488804450,37955470020.72
655,136.191,260548268,35484329167.188
414,208.958,215836484,45100760023.672
253,149.505,269876239,40347847111.695
853,129.616,749153844,97102324643.904
907,262.418,191350252,50213750429.336
1114,12.9007,457032657,5896041198.159901
939,1055.11,172642157,182156466272.27
2606,11.2554,3128478036,35212271686.3944
2837,150.956,232513608,35099324209.248
1793,150.359,1101329838,165594853111.842
1046,85.9267,239604448,20588419521.961597
554,46.3771,183714934,8520165865.6114
1970,47.9169,4968510004,238075597010.6676

weighted_avg,NA,NA,1151012047798.035
weighted_%,NA,NA,1.0
weighted_total,1151012047798.035
