Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,106709030,23203558446.41
2298,16.1495,0,0.0
2235,73.9095,2075650254,153410272448.013
562,151.883,398495340,60524667725.22
2322,74.3347,74196964,5515409059.8508
533,77.6496,683232223,53052708823.06081
655,136.191,1716504353,233772444339.423
414,208.958,660262329,137967095743.182
253,149.505,125164043,18712650248.715
853,129.616,1682157323,218034503577.96802
907,262.418,138731899,36405747471.782
1114,12.9007,24693545,318564015.9815
939,1055.11,499688848,527226700413.27997
2606,11.2554,3466467621,39016479661.4034
2837,150.956,103344968,15600542989.407999
1793,150.359,3241741375,487424991403.625
1046,85.9267,95022437,8164964437.3679
554,46.3771,289405662,13421795327.1402
1970,47.9169,502696837,24087674068.8453

weighted_avg,NA,NA,2055860770200.6755
weighted_%,NA,NA,1.0
weighted_total,2055860770200.6755
