Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
4118,2431.67,101956,247923346.52,79416,193113504.72
1010,22.174,98690,2188352.06,82543,1830308.4819999998
1362,2347.06,102453,240463338.18,79058,185553869.48
5198,1186.62,99928,118576563.35999998,78464,93106951.67999999

weighted_avg,NA,NA,609151600.12,NA,473604634.362
weighted_%,NA,NA,0.562593482005138,NA,0.4374065179948621
weighted_total,1082756234.4819999
