Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1466507,1188092112.557,4881,3954347.031
5297,898.498,1471626,1322253017.7480001,5007,4498779.4860000005
5168,967.77,1469358,1422000591.66,5084,4920142.68
2807,979.819,1466855,1437252399.245,5131,5027451.289
2215,509.983,1467545,748423001.735,5115,2608563.045
1490,862.35,1472264,1269606860.4,5146,4437653.100000001
3954,490.914,1468142,720731461.788,5094,2500715.9159999997
2031,399.553,1467951,586524225.903,5204,2079273.812

weighted_avg,NA,NA,8694883671.036,NA,30026926.359000005
weighted_%,NA,NA,0.9965584832046342,NA,0.003441516795365807
weighted_total,8724910597.394999
