Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,202334,163921092.434,1678,1359433.378
5297,898.498,205546,184682669.90800002,1961,1761954.578
5168,967.77,202226,195708256.02,1701,1646176.77
2807,979.819,201215,197154280.08499998,1683,1649035.3769999999
2215,509.983,204499,104291013.517,1688,860851.304
1490,862.35,207625,179045418.75,1965,1694517.75
3954,490.914,203527,99914253.678,1688,828662.8319999999
2031,399.553,205163,81973492.139,1680,671249.04

weighted_avg,NA,NA,1206690476.531,NA,10471881.029
weighted_%,NA,NA,0.9913964797186198,NA,0.0086035202813802
weighted_total,1217162357.56
