Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,0,0.0,5919,4795283.768999999
5297,898.498,0,0.0,6466,5809688.068
5168,967.77,0,0.0,6437,6229535.49
2807,979.819,0,0.0,6523,6391359.336999999
2215,509.983,0,0.0,6571,3351098.293
1490,862.35,0,0.0,6889,5940729.15
3954,490.914,0,0.0,6234,3060357.8759999997
2031,399.553,0,0.0,6202,2478027.706

weighted_avg,NA,NA,0.0,NA,38056079.689
weighted_%,NA,NA,0.0,NA,1.0
weighted_total,38056079.689
