Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,4529,3669173.8789999997,0,0.0
5297,898.498,4633,4162741.234,1,898.498
5168,967.77,4742,4589165.34,0,0.0
2807,979.819,4776,4679615.544,0,0.0
2215,509.983,4793,2444348.519,0,0.0
1490,862.35,4779,4121170.65,1,862.35
3954,490.914,4769,2341168.866,0,0.0
2031,399.553,4888,1953015.064,0,0.0

weighted_avg,NA,NA,27960399.096,NA,1760.848
weighted_%,NA,NA,0.9999370274684242,NA,6.29725315757603e-05
weighted_total,27962159.944000002
