Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,4674,3786645.7739999997,37,29975.587
5297,898.498,4778,4293023.444,49,44026.402
5168,967.77,4880,4722717.6,35,33871.95
2807,979.819,4914,4814830.566,48,47031.312
2215,509.983,4926,2512176.258,20,10199.66
1490,862.35,4923,4245349.05,40,34494.0
3954,490.914,4902,2406460.428,23,11291.021999999999
2031,399.553,5022,2006555.166,13,5194.189

weighted_avg,NA,NA,28787758.286000002,NA,216084.122
weighted_%,NA,NA,0.9925498105057832,NA,0.007450189494216755
weighted_total,29003842.408000004
