Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
517,810.151,200400,162354260.39999998
5297,898.498,218915,196694689.67000002
5168,967.77,213460,206580184.2
2807,979.819,215730,211376352.87
2215,509.983,213390,108825272.37
1490,862.35,229115,197577320.25
3954,490.914,212535,104336406.99
2031,399.553,219590,87737843.27

weighted_avg,NA,NA,1275482330.02
weighted_%,NA,NA,1.0
weighted_total,1275482330.02
