Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,99823798,80872349773.498
5297,898.498,100028042,89874995680.916
5168,967.77,100064622,96839539232.94
2807,979.819,100000455,97982345817.64499
2215,509.983,100146255,51072887563.665
1490,862.35,100154286,86368048532.1
3954,490.914,100137117,49158712654.937996
2031,399.553,100167139,40022080888.867

weighted_avg,NA,NA,592190960144.569
weighted_%,NA,NA,1.0
weighted_total,592190960144.569
