Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,380265,308072070.015,22404,18150623.004
5297,898.498,379414,340902720.172,22939,20610645.622
5168,967.77,380199,367945186.23,22266,21548366.82
2807,979.819,380178,372505627.782,22169,21721607.411
2215,509.983,379939,193762431.037,22351,11398630.033
1490,862.35,379351,327133334.85,22788,19651231.8
3954,490.914,379864,186480555.696,22426,11009237.364
2031,399.553,379530,151642350.09,22678,9061062.934

weighted_avg,NA,NA,2248444275.872,NA,133151404.98799999
weighted_%,NA,NA,0.9440915155926389,NA,0.05590848440736115
weighted_total,2381595680.86
