Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,0,0.0,0,0.0,1,217.447
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,4,295.638,0,0.0,0,0.0
562,151.883,33,5012.139,0,0.0,6,911.298
2322,74.3347,0,0.0,0,0.0,3,223.0041
533,77.6496,48,3727.1808,0,0.0,7,543.5472000000001
655,136.191,9,1225.719,0,0.0,3,408.573
414,208.958,201,42000.558,0,0.0,60,12537.48
253,149.505,0,0.0,0,0.0,0,0.0
853,129.616,2,259.232,0,0.0,0,0.0
907,262.418,3,787.254,0,0.0,2,524.836
1114,12.9007,0,0.0,0,0.0,0,0.0
939,1055.11,100,105510.99999999999,0,0.0,11,11606.21
2606,11.2554,7,78.7878,0,0.0,1,11.2554
2837,150.956,0,0.0,0,0.0,0,0.0
1793,150.359,1,150.359,0,0.0,3,451.077
1046,85.9267,7,601.4869,0,0.0,4,343.7068
554,46.3771,1,46.3771,0,0.0,1,46.3771
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,159695.73159999997,NA,0.0,NA,27824.811599999997
weighted_%,NA,NA,0.8516172621667193,NA,0.0,NA,0.1483827378332808
weighted_total,187520.54319999996
