Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,962300,209249248.1,22179,4822757.013
2298,16.1495,0,0.0,0,0.0
2235,73.9095,16480,1218028.5599999998,65256,4823038.3319999995
562,151.883,52747,8011372.601000001,16777,2548141.091
2322,74.3347,1162,86376.92139999999,1984,147480.0448
533,77.6496,65190,5061977.424000001,13220,1026527.712
655,136.191,6803,926507.373,7332,998552.412
414,208.958,1068762,223326369.996,224717,46956414.886
253,149.505,409546,61229174.73,15422,2305666.11
853,129.616,119857,15535384.912000002,56520,7325896.320000001
907,262.418,11946,3134845.4280000003,5826,1528847.268
1114,12.9007,900,11610.630000000001,1040,13416.728000000001
939,1055.11,1153043,1216587199.7299998,177770,187566904.7
2606,11.2554,112588,1267222.9752,270614,3045868.8156
2837,150.956,578900,87388428.39999999,11977,1808000.0119999999
1793,150.359,40720,6122618.48,82579,12416495.861000001
1046,85.9267,600993,51641345.2131,16253,1396566.6550999999
554,46.3771,24114,1118337.3894,4184,194041.78639999998
1970,47.9169,18925,906827.3325,6185,296366.0265

weighted_avg,NA,NA,1892822876.1955998,NA,279220981.7734
weighted_%,NA,NA,0.8714478159596236,NA,0.12855218404037638
weighted_total,2172043857.969
