Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,26365,5732990.155,11783,2562178.001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,7,517.3665,17,1256.4615
562,151.883,3462,525818.946,1728,262453.824
2322,74.3347,17,1263.6898999999999,2,148.6694
533,77.6496,640,49695.744000000006,1842,143030.5632
655,136.191,69,9397.179,163,22199.133
414,208.958,16031,3349805.698,14873,3107832.334
253,149.505,27109,4052931.045,7057,1055056.785
853,129.616,29,3758.8640000000005,59,7647.344000000001
907,262.418,4125,1082474.25,1721,451621.378
1114,12.9007,83,1070.7581,0,0.0
939,1055.11,30620,32307468.199999996,28969,30565481.589999996
2606,11.2554,40,450.216,19,213.8526
2837,150.956,28007,4227824.692,9731,1468952.836
1793,150.359,18,2706.462,54,8119.386
1046,85.9267,21666,1861687.8821999999,6388,548899.7596
554,46.3771,747,34643.693699999996,564,26156.6844
1970,47.9169,5956,285393.0564,1076,51558.5844

weighted_avg,NA,NA,53529897.89779999,NA,40282807.1861
weighted_%,NA,NA,0.5706039267274761,NA,0.42939607327252394
weighted_total,93812705.08389999
