Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,13703,2979676.241
2298,16.1495,0,0.0
2235,73.9095,104,7686.588
562,151.883,2439,370442.63700000005
2322,74.3347,18,1338.0246
533,77.6496,2085,161899.41600000003
655,136.191,326,44398.266
414,208.958,27540,5754703.32
253,149.505,13181,1970625.405
853,129.616,151,19572.016000000003
907,262.418,1787,468940.966
1114,12.9007,3,38.7021
939,1055.11,61114,64481992.53999999
2606,11.2554,160,1800.864
2837,150.956,10301,1554997.7559999998
1793,150.359,150,22553.850000000002
1046,85.9267,9246,794478.2681999999
554,46.3771,284,13171.0964
1970,47.9169,176,8433.3744

weighted_avg,NA,NA,78656749.33069997
weighted_%,NA,NA,1.0
weighted_total,78656749.33069997
