Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.042,4140.625774
2298,16.1495,15.482,250.026559
2235,73.9095,16.154,1193.934063
562,151.883,18.506,2810.746798
2322,74.3347,20.564,1528.6187708
533,77.6496,18.471,1434.2657616000001
655,136.191,15.202,2070.375582
414,208.958,16.262,3398.0749960000003
253,149.505,17.972,2686.90386
853,129.616,19.124,2478.7763840000002
907,262.418,16.996,4460.056328
1114,12.9007,20.024,258.3236168
939,1055.11,15.917,16794.185869999998
2606,11.2554,21.921,246.72962339999998
2837,150.956,15.844,2391.7468639999997
1793,150.359,19.404,2917.566036
1046,85.9267,17.316,1487.9067372
554,46.3771,17.693,820.5500303
1970,47.9169,24.871,1191.7412198999998

weighted_avg,NA,NA,52561.15487399999
weighted_%,NA,NA,1.0
weighted_total,52561.15487399999
