Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,681975547,148293536768.509
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2321292814,171565591236.33298
562,151.883,687410148,104405915508.684
2322,74.3347,703110605,52265515889.4935
533,77.6496,1560212078,121149843771.8688
655,136.191,946656178,128926051537.998
414,208.958,880707668,184030912889.944
253,149.505,957506256,143151972803.28
853,129.616,2207472345,286123735469.52
907,262.418,921813215,241900380253.87
1114,12.9007,1253695357,16173547692.0499
939,1055.11,858272451,905571845774.6099
2606,11.2554,7594459495,85478679400.023
2837,150.956,898309453,135605201787.068
1793,150.359,3203118189,481617647779.851
1046,85.9267,862499421,74111728998.4407
554,46.3771,663813988,30785767702.874798
1970,47.9169,9927991414,475718571785.4966

weighted_avg,NA,NA,3795184739895.0117
weighted_%,NA,NA,1.0
weighted_total,3795184739895.0117
