Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,7009,1524086.023,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,22,1626.0089999999998,0,0.0
562,151.883,1528,232077.22400000002,0,0.0
2322,74.3347,23,1709.6981,0,0.0
533,77.6496,748,58081.9008,0,0.0
655,136.191,63,8580.033,0,0.0
414,208.958,9278,1938712.324,3,626.874
253,149.505,7222,1079725.1099999999,0,0.0
853,129.616,50,6480.800000000001,0,0.0
907,262.418,1405,368697.29000000004,0,0.0
1114,12.9007,17,219.3119,0,0.0
939,1055.11,21511,22696471.209999997,1,1055.11
2606,11.2554,30,337.662,0,0.0
2837,150.956,6316,953438.0959999999,0,0.0
1793,150.359,18,2706.462,0,0.0
1046,85.9267,7698,661463.7366,0,0.0
554,46.3771,303,14052.2613,0,0.0
1970,47.9169,4034,193296.7746,0,0.0

weighted_avg,NA,NA,29741761.9263,NA,1681.984
weighted_%,NA,NA,0.9999434502606668,NA,5.6549739333229583e-05
weighted_total,29743443.9103
