Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,351898565,76519287263.55501
2298,16.1495,0,0.0
2235,73.9095,480639992,35523861488.724
562,151.883,313579945,47627462786.435005
2322,74.3347,29227920,2172648664.824
533,77.6496,162901801,12649259686.929602
655,136.191,59778366,8141275443.906
414,208.958,3861798748,806953742784.584
253,149.505,188154259,28130002491.795
853,129.616,310233100,40211173489.600006
907,262.418,106607859,27975821143.062
1114,12.9007,2557166,32989231.4162
939,1055.11,3698962383,3902812199927.1294
2606,11.2554,982328840,11056504025.736
2837,150.956,187130876,28248528517.455997
1793,150.359,584539238,87890735286.442
1046,85.9267,189080772,16247086771.4124
554,46.3771,76293709,3538280971.6639
1970,47.9169,15360441,736024715.3529

weighted_avg,NA,NA,5136466884690.023
weighted_%,NA,NA,1.0
weighted_total,5136466884690.023
