Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,419655,91252720.785
2298,16.1495,0,0.0
2235,73.9095,27610,2040641.295
562,151.883,262280,39835873.24
2322,74.3347,8395,624039.8065
533,77.6496,706305,54844300.72800001
655,136.191,95080,12949040.28
414,208.958,3032025,633565879.95
253,149.505,726025,108544367.625
853,129.616,52595,6817153.5200000005
907,262.418,136150,35728210.7
1114,12.9007,4685,60439.779500000004
939,1055.11,3613710,3812861558.0999994
2606,11.2554,60985,686410.569
2837,150.956,447455,67546016.97999999
1793,150.359,70620,10618352.58
1046,85.9267,785475,67493274.6825
554,46.3771,67590,3134628.189
1970,47.9169,2516880,120601087.272

weighted_avg,NA,NA,5069203996.0815
weighted_%,NA,NA,1.0
weighted_total,5069203996.0815
