Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1151843,51780641.3278,1049210,47166815.866
812,334.908,1047949,350966503.69200003,384118,128644191.14400001
1358,97.2156,932888,90691266.6528,858249,83435191.48439999
1778,40.8635,1378759,56340918.39650001,208097,8503571.7595
828,45.4532,1161440,52791164.608,2688663,122208337.0716
2213,8.07837,1190580,9617945.7546,293065,2367487.50405
1726,65.5195,1226393,80352656.1635,164257,10762036.5115
2054,37.2896,1401166,52248919.6736,88179,3288159.6384
1903,16.1097,821999,13242157.2903,29434,474172.9098
509,133.977,1055383,141397048.191,375696,50334622.992
1751,10.0901,1323901,13358293.4801,67546,681545.8946
62,40.4224,1369539,55360053.273600005,377343,15253109.683200002
2151,40.7196,1322107,53835668.1972,2009506,81826280.5176
239,98.774,1446653,142891703.422,92201,9107061.574000001
1893,44.3029,672857,29809516.3853,51058,2262017.4682
1305,111.513,1103897,123098866.161,1124938,125445211.194
1673,34.2884,1374111,47116067.6124,323688,11098743.6192
492,45.4197,910761,41366491.3917,508474,23094736.5378
2249,320.874,1186917,380850805.458,1671644,536387096.85600007
264,17.7912,1308537,23280443.4744,2716717,48333655.4904
2123,26.1783,1109106,29034509.5998,443136,11600547.1488
116,27.1629,1249858,33949767.868200004,1140358,30975430.3182
1159,18.1708,1384165,25151385.382,632115,11486035.242
1270,263.009,1256716,330527618.444,2144933,564136683.3970001
2165,28.2044,1104845,31161490.318,37744,1064546.8736
1152,171.372,1166624,199926688.12800002,871834,149407936.24800003
792,79.0312,993277,78499873.2424,71389,5641958.3368
1979,51.6033,1053130,54344983.328999996,346810,17896540.472999997
2185,56.1164,1107873,62169844.4172,3057611,171582121.9204

weighted_avg,NA,NA,2655163291.3344007,NA,2274465845.674051
weighted_%,NA,NA,0.5386131933132983,NA,0.46138680668670173
weighted_total,4929629137.008451
