Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4339655,195087454.663
812,334.908,3889809,1302728152.572
1358,97.2156,5562403,540752345.0868
1778,40.8635,10705988,437484140.638
828,45.4532,9865744,448429635.1808
2213,8.07837,4744914,38331170.910179995
1726,65.5195,2985467,195606305.10649997
2054,37.2896,2864935,106832280.176
1903,16.1097,3144053,50649750.6141
509,133.977,9600861,1286294554.197
1751,10.0901,3670859,37039334.395899996
62,40.4224,3930505,158880445.312
2151,40.7196,9263846,377220103.5816
239,98.774,2942454,290637951.396
1893,44.3029,3571601,158232281.9429
1305,111.513,6847417,763576011.921
1673,34.2884,3974970,136295361.34800002
492,45.4197,7232951,328518464.5347
2249,320.874,4547256,1459096221.7440002
264,17.7912,15971490,284151972.888
2123,26.1783,11122514,291168508.2462
116,27.1629,6206758,168593546.8782
1159,18.1708,3879706,70497361.7848
1270,263.009,6221617,1636341265.553
2165,28.2044,3282081,92569125.3564
1152,171.372,3789608,649432702.176
792,79.0312,4195228,331553903.1136
1979,51.6033,4515313,233005051.3329
2185,56.1164,15926420,893733355.288

weighted_avg,NA,NA,12962738757.93758
weighted_%,NA,NA,1.0
weighted_total,12962738757.93758
