Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,537708980,24172492112.308
812,334.908,418306551,140094210382.308
1358,97.2156,768339865,74694620979.894
1778,40.8635,623385690,25473721143.315002
828,45.4532,2406777179,109395724472.52281
2213,8.07837,38231020,308844325.0374
1726,65.5195,74122684,4856481194.337999
2054,37.2896,506234670,18877288350.432
1903,16.1097,38021994,612522916.7418
509,133.977,988402006,132423135557.862
1751,10.0901,0,0.0
62,40.4224,253244314,10236742958.2336
2151,40.7196,1772280829,72166566444.5484
239,98.774,65836396,6502924178.504
1893,44.3029,6115538,270936068.4602
1305,111.513,1003014680,111849176010.84001
1673,34.2884,257609666,8833023271.6744
492,45.4197,933389984,42394293056.2848
2249,320.874,733898293,235488880868.08203
264,17.7912,711672489,12661507586.2968
2123,26.1783,142851027,3739597040.1141
116,27.1629,827474366,22476603456.2214
1159,18.1708,524822643,9536447281.4244
1270,263.009,1218462905,320466710181.145
2165,28.2044,33342969,940418434.8636
1152,171.372,514461150,88164236197.8
792,79.0312,315531492,24936832450.5504
1979,51.6033,571081631,29469696728.9823
2185,56.1164,1364796851,76587486009.4564

weighted_avg,NA,NA,1607631119658.241
weighted_%,NA,NA,1.0
weighted_total,1607631119658.241
