Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1647488,74062164.0448,4326,194473.5996
812,334.908,1635601,547775859.7080001,9031,3024554.148
1358,97.2156,1411328,137203098.3168,15593,1515882.8508
1778,40.8635,1418724,57974028.174,34,1389.3590000000002
828,45.4532,2657761,120803742.2852,622,28271.8904
2213,8.07837,1257336,10157225.422319999,57,460.46709
1726,65.5195,1214022,79542114.42899999,56,3669.0919999999996
2054,37.2896,1418506,52895521.3376,478,17824.4288
1903,16.1097,835641,13461925.8177,38,612.1686
509,133.977,1357326,181850465.502,6454,864687.5580000001
1751,10.0901,1291304,13029386.4904,0,0.0
62,40.4224,1550633,62680307.379200004,766,30963.5584
2151,40.7196,2245315,91428328.674,418,17020.7928
239,98.774,1440389,142272983.086,87,8593.338
1893,44.3029,697808,30914918.0432,17,753.1493
1305,111.513,1712195,190932001.035,21057,2348129.241
1673,34.2884,1528928,52424494.835200004,128,4388.9152
492,45.4197,1239327,56289860.5419,5985,271836.9045
2249,320.874,1927768,618570629.232,24979,8015111.646000001
264,17.7912,2875873,51165231.7176,2107,37486.0584
2123,26.1783,1364854,35729557.4682,42,1099.4886
116,27.1629,1297201,35235741.0429,396,10756.5084
1159,18.1708,1561253,28369216.0124,410,7450.028
1270,263.009,2154747,566717853.723,23067,6066828.603
2165,28.2044,1061169,29929634.9436,4,112.8176
1152,171.372,1542978,264423225.816,525,89970.3
792,79.0312,1208847,95536629.0264,552,43625.2224
1979,51.6033,1187612,61284698.31959999,1318,68013.1494
2185,56.1164,2645023,148429168.6772,31,1739.6084

weighted_avg,NA,NA,3851090011.101221,NA,22675704.89169
weighted_%,NA,NA,0.9941463406529536,NA,0.005853659347046454
weighted_total,3873765715.992911
