Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,70,3146.822,586,26343.3956
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,1,40.8635,0,0.0
828,45.4532,25,1136.3300000000002,65,2954.458
2213,8.07837,4,32.31348,17,137.33229
1726,65.5195,0,0.0,0,0.0
2054,37.2896,36,1342.4256,82,3057.7472
1903,16.1097,3,48.3291,0,0.0
509,133.977,16,2143.632,2,267.954
1751,10.0901,0,0.0,0,0.0
62,40.4224,17,687.1808000000001,80,3233.7920000000004
2151,40.7196,7,285.0372,139,5660.0244
239,98.774,3,296.322,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,27,3010.851,1,111.513
1673,34.2884,1,34.2884,3,102.86520000000002
492,45.4197,3,136.2591,0,0.0
2249,320.874,100,32087.4,94,30162.156000000003
264,17.7912,30,533.736,130,2312.8559999999998
2123,26.1783,0,0.0,0,0.0
116,27.1629,2,54.3258,11,298.7919
1159,18.1708,15,272.562,51,926.7108
1270,263.009,469,123351.221,1489,391620.401
2165,28.2044,0,0.0,0,0.0
1152,171.372,4,685.488,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,0,0.0,6,336.6984

weighted_avg,NA,NA,169428.59358000002,NA,467526.69579
weighted_%,NA,NA,0.2659976240209552,NA,0.7340023759790448
weighted_total,636955.28937
