Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,32641,1467363.0986,10214,459166.2844
812,334.908,346860,116166188.88000001,45561,15258743.388
1358,97.2156,72039,7003314.608399999,31485,3060833.1659999997
1778,40.8635,68,2778.7180000000003,3,122.5905
828,45.4532,298,13545.053600000001,347,15772.260400000001
2213,8.07837,0,0.0,25,201.95925
1726,65.5195,2212,144929.134,46,3013.897
2054,37.2896,1232,45940.7872,444,16556.5824
1903,16.1097,64,1031.0208,25,402.7425
509,133.977,62891,8425947.507000001,4031,540061.287
1751,10.0901,0,0.0,0,0.0
62,40.4224,42585,1721387.904,4714,190551.19360000003
2151,40.7196,47,1913.8212,117,4764.1932
239,98.774,2871,283580.154,561,55412.214
1893,44.3029,137,6069.4973,0,0.0
1305,111.513,90417,10082670.921,39384,4391827.992000001
1673,34.2884,4500,154297.80000000002,262,8983.560800000001
492,45.4197,45595,2070911.2215,8150,370170.555
2249,320.874,116681,37439899.194000006,58701,18835624.674000002
264,17.7912,36166,643436.5392,3631,64599.8472
2123,26.1783,111,2905.7913,21,549.7443
116,27.1629,1570,42645.753000000004,396,10756.5084
1159,18.1708,78,1417.3224,190,3452.4519999999998
1270,263.009,28869,7592806.821,17998,4733635.982
2165,28.2044,2441,68846.94039999999,81,2284.5564
1152,171.372,1663,284991.636,660,113105.52
792,79.0312,143228,11319480.7136,2812,222235.7344
1979,51.6033,3327,171684.17909999998,594,30652.3602
2185,56.1164,0,0.0,11,617.2804

weighted_avg,NA,NA,205159985.0166001,NA,48394098.52535001
weighted_%,NA,NA,0.8091369783940267,NA,0.1908630216059734
weighted_total,253554083.5419501
