Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,2503,112521.36379999999,1524,68510.8104
812,334.908,7738,2591518.1040000003,827,276968.916
1358,97.2156,11084,1077537.7104,3612,351142.7472
1778,40.8635,33,1348.4955,1,40.8635
828,45.4532,290,13181.428,309,14045.0388
2213,8.07837,10,80.7837,40,323.1348
1726,65.5195,37,2424.2214999999997,18,1179.3509999999999
2054,37.2896,225,8390.16,200,7457.92
1903,16.1097,16,257.7552,17,273.8649
509,133.977,5680,760989.36,700,93783.90000000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,538,21747.251200000002,193,7801.5232000000005
2151,40.7196,130,5293.548,215,8754.714
239,98.774,69,6815.406,18,1777.932
1893,44.3029,10,443.029,7,310.1203
1305,111.513,14274,1591736.5620000002,5362,597932.706
1673,34.2884,96,3291.6864000000005,31,1062.9404000000002
492,45.4197,4800,218014.56,1113,50552.1261
2249,320.874,17879,5736906.246,5413,1736890.962
264,17.7912,942,16759.3104,463,8237.3256
2123,26.1783,36,942.4188,6,157.0698
116,27.1629,246,6682.0734,145,3938.6205
1159,18.1708,121,2198.6668,251,4560.8708
1270,263.009,9825,2584063.4250000003,8358,2198229.222
2165,28.2044,2,56.4088,2,56.4088
1152,171.372,371,63579.012,138,23649.336000000003
792,79.0312,540,42676.848,8,632.2496
1979,51.6033,1039,53615.8287,246,12694.4118
2185,56.1164,5,280.582,26,1459.0264

weighted_avg,NA,NA,14923352.244600002,NA,5472424.111900001
weighted_%,NA,NA,0.7316883644806208,NA,0.2683116355193792
weighted_total,20395776.356500003
