Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,42855,1926529.383,52117,2342898.8882
812,334.908,392421,131424932.268,98047,32836724.676000003
1358,97.2156,103524,10064147.7744,100770,9796416.012
1778,40.8635,71,2901.3085,67,2737.8545
828,45.4532,645,29317.314000000002,2400,109087.68000000001
2213,8.07837,25,201.95925,355,2867.8213499999997
1726,65.5195,2258,147943.031,1002,65650.53899999999
2054,37.2896,1676,62497.3696,2957,110265.3472
1903,16.1097,89,1433.7633,108,1739.8476
509,133.977,66922,8966008.794,18613,2493713.901
1751,10.0901,0,0.0,0,0.0
62,40.4224,47299,1911939.0976000002,21945,887069.5680000001
2151,40.7196,164,6678.0144,1852,75412.6992
239,98.774,3432,338992.368,2852,281703.448
1893,44.3029,137,6069.4973,133,5892.2857
1305,111.513,129801,14474498.913,123641,13787578.833
1673,34.2884,4762,163281.36080000002,1738,59593.2392
492,45.4197,53745,2441081.7765,34445,1564481.5665
2249,320.874,175382,56275523.868,145250,46606948.5
264,17.7912,39797,708036.3864,25214,448587.3168
2123,26.1783,132,3455.5356,71,1858.6593
116,27.1629,1966,53402.2614,1752,47589.4008
1159,18.1708,268,4869.7744,3010,54694.108
1270,263.009,46867,12326442.803000001,118588,31189711.292000003
2165,28.2044,2522,71131.4968,1330,37511.852
1152,171.372,2323,398097.156,3738,640588.5360000001
792,79.0312,146040,11541716.447999999,15770,1246322.024
1979,51.6033,3921,202336.53929999997,1379,71160.9507
2185,56.1164,11,617.2804,248,13916.8672

weighted_avg,NA,NA,253554083.54195005,NA,144782723.71325
weighted_%,NA,NA,0.6365318969369232,NA,0.3634681030630768
weighted_total,398336807.2552
