Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,39150,1759972.59
812,334.908,147055,49249895.940000005
1358,97.2156,76745,7460811.222
1778,40.8635,612,25008.462
828,45.4532,1869,84952.03080000001
2213,8.07837,7,56.54859
1726,65.5195,10354,678388.9029999999
2054,37.2896,2759,102882.0064
1903,16.1097,217,3495.8049
509,133.977,31525,4223624.925
1751,10.0901,0,0.0
62,40.4224,35544,1436773.7856
2151,40.7196,929,37828.5084
239,98.774,3203,316373.122
1893,44.3029,644,28531.067600000002
1305,111.513,96124,10719075.612
1673,34.2884,12483,428022.0972
492,45.4197,29732,1350418.5204
2249,320.874,121029,38835059.346
264,17.7912,23638,420548.3856
2123,26.1783,284,7434.6372
116,27.1629,12518,340025.1822
1159,18.1708,1057,19206.5356
1270,263.009,66177,17405146.593000002
2165,28.2044,3926,110730.47439999999
1152,171.372,2350,402724.2
792,79.0312,57126,4514736.3312
1979,51.6033,2684,138503.2572
2185,56.1164,54,3030.2856

weighted_avg,NA,NA,140103256.37389
weighted_%,NA,NA,1.0
weighted_total,140103256.37389
