Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,778987617,35019076727.1882
812,334.908,712529393,238631793950.84402
1358,97.2156,1135020481,110341697072.7036
1778,40.8635,2140554790,87470560661.16501
828,45.4532,1905576611,86614554815.10521
2213,8.07837,874554078,7064971427.092859
1726,65.5195,593955536,38915669740.951996
2054,37.2896,551114108,20550824641.6768
1903,16.1097,757180931,12197957644.1307
509,133.977,2102716285,281715619715.445
1751,10.0901,701939309,7082637821.7409
62,40.4224,789709681,31921960609.254402
2151,40.7196,1824000127,74272555571.3892
239,98.774,524612715,51818096311.41
1893,44.3029,957758210,42431466201.809
1305,111.513,1335269681,148899927937.353
1673,34.2884,882767392,30268681443.852802
492,45.4197,1599699847,72657887140.7859
2249,320.874,732397695,235007377985.43002
264,17.7912,2805342901,49910416620.2712
2123,26.1783,1489057998,38981006989.0434
116,27.1629,1090166101,29612072784.8529
1159,18.1708,648418884,11782289857.3872
1270,263.009,1121675342,295010710024.078
2165,28.2044,632886579,17850186228.7476
1152,171.372,725811149,124383708226.42801
792,79.0312,858065058,67813911211.8096
1979,51.6033,929350704,47957563183.7232
2185,56.1164,3011855966,169014514130.44238

weighted_avg,NA,NA,2465199696676.1123
weighted_%,NA,NA,1.0
weighted_total,2465199696676.1123
